"Bureau of Justice Statistics",,,,,,,,
"Filename:  p0001.csv",,,,,,,,
"Table #1:  Number of persons held in State or Federal prisons or in local jails, 1990-2000",,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,
"Date of version:  8/8/01",,,,,,,,
,,,,,,,,
"Table 1.  Number of persons held in State or Federal prisons or in local jails, 1990-2000",,,,,,,,
,,,,,,,,
,,"Prisoners in custody on",,"Inmates in",,,,"U.S. resident"
,"Total inmates ","December 31",,"local jails",,"Incarceration  ",,"population"
"Year","in custody","Federal","State","on June 30",,"rate /a",,
,,,,,,,,
1990,1148702,58838,684544,405320,,458,,250689
,,,,,,,,
1995,1585586,89538,989004,507044,,601,,266495
1996,1646020,95088,1032440,518492,,618,,268924
1997,1743643,101755,1074809,567079,,648,,271628
1998,1816931,110793,1113676,592462,,669,,274051
"1999/b",1893115,125682,1161490,605943,,691,,274051
2000,1933503,133921,1178433,621149,,699,,276578
,,,,,,,,
"Percent change ",,,,,,,,
"1999-2000",2.1%,6.6%,1.5%,2.5%,,,,
"Annual average increase",,,,,,,,
" 1990-2000",5.3%,8.6%,5.6%,4.4%,,,,
,,,,,,,,
"Note:  Counts include all inmates held in public and private adult correctional facilities. ",,,,,,,,
"Jail counts for 1995-2000 exclude persons supervised outside a jail facility. ",,,,,,,,
"a/Number of prison and jail inmates per 100,000 U.S. residents at yearend.",,,,,,,,
"b/In 1999, 15 States expanded their reporting criteria to include inmates held in privately ",,,,,,,,
"operated correctional facilities.  For comparisons with previous years, the State count ",,,,,,,,
"1,137,544 and the total count 1,869,169 should be used.",,,,,,,,
