"Bureau of Justice Statistics",,,,,
"Filename:  p0002.csv",,,,,
"Table #2: Change in the State and Federal prison populations, 1990-2000",,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,
"Data source:  National Prisoner Statistics-1",,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,
"Date of version:  8/8/01",,,,,
,,,,,
"Table 2.  Change in the State and Federal prison populations, 1990-2000",,,,,
,,,,,
,"Annual increase in the",,,,
,"number of prisoners",,,"Percent",
,"Custody","Jurisdiction",,"change",
1990,60000,61555,,8.6,"%"
1991,49153,51640,,6.7,
1992,58031,56941,,6.9,
1993,58815,64992,,7.4,
1994,80766,84258,,8.7,
1995,88395,71172,,6.7,
1996,49222,57494,,5.1,
1997,48800,58785,,5.0,
1998,47905,58420,,4.7,
1999,36957,43796,,3.4,
2000,25182,18191,,1.3,
,,,,,
"Average annual ",,,,,
"increase, ",,,,,
"1990-2000",56897,60799,,6.0,"%"
,,,,,
"Note:  In years in which States changed their ",,,,,
"reporting methods, counts based on compa-",,,,,
"rable methods were used to calculate the ",,,,,
"annual increase and percent change. See",,,,,
"Methodology for changes by State. ",,,,,
