"Bureau of Justice Statistics",,,,,,,,,,,,
"Filename:  p0003.csv",,,,,,,,,,,,
"Table #3:  Prisoners under the jurisdiction of State or Federal correctional authorities, by region and jurisdiction, yearend 1999 and 2000",,,,,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3.  Prisoners under the jurisdiction of State or Federal correctional authorities, by region and jurisdiction, yearend 1999 and 2000",,,,,,,,,,,,
,,,,,,,,,,,,
,,"          ","   Total   ","          ",," Sentenced to more than 1 year   ",,,,"Incar-",,
,,,,"Percent",,,,"Percent",,"ceration",,
"Region and",,"Advance ",,"change,",,"Advance",,"change",,"rate, ",,"Resident"
"jurisdiction             ",,"2000   ","   1999   ","1999 to 00     ","        ","2000   ","   1999   ","1999 to 00          ",," 2000/a    ",,"Pop 2000"
"U.S. Total",,1381892,1363701,1.3,"%",1321146,1304074,1.3,"%",478,,276578
,,,,,,,,,,,,
"Federal",,145416,135246,7.5,"%",125044,114275,9.4,"%",45,,276578
"State",,1236476,1228455,0.7,,1196102,1189799,0.5,,432,,276578
,,,,,,,,,,,,
"Northeast",,174825,179424,-2.6,"%",166631,171237,-2.7,"%",320,,52138
"Connecticut/b",,18355,18639,-1.5,,13155,13032,0.9,,398,,3307
"Maine",,1679,1716,-2.2,,1635,1663,-1.7,,129,,1264
"Massachusetts/c",,10722,11356,-5.6,,9479,10282,-7.8,,152,,6219
"New Hampshire",,2257,2257,0.0,,2257,2257,0.0,,185,,1223
"New Jersey/d",,29784,31493,-5.4,,29784,31493,-5.4,,362,,8232
"New York/e",,70198,72899,-3.7,,70198,72899,-3.7,,383,,18308
"Pennsylvania",,36847,36525,0.9,,36844,36525,0.9,,307,,11986
"Rhode Island/b",,3286,3003,9.4,,1966,1908,3.0,,197,,998
