"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"Filename:  p0004.csv",,,,,,,,,,,,,,,
"Table #4:  Change in the number of sentenced prisoners under the jurisdiction of State or Federal correctional authorities, 1990-2000",,,,,,,,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 4.  Change in the number of sentenced prisoners under the jurisdiction ",,,,,,,,,,"Figures for calculating population difference",,,,,
"of State or Federal correctional authorities, 1990-2000",,,,,,,,,,"and percent change",,,,"Reporting method",
,,,,,,,,,,"Inmates with sentences",,,,"C = custody",
,,"                 1990-2000",,,,"Average",,,,"of greater than 1 year",,,,"J = jurisdiction",
"Region and ",,"Population ",,"Percent",,"annual per-",,,,"   1990    ",,"   2000   ",,1990,2000
"jurisdiction          ",,"difference     ",,"change         ",,"cent change            ",,,,,,,,,
"    U.S. total",,574029,,76.8,"%",5.9,"%",,,747108,,1320960,,,
,,,,,,,,,,,,,,,
"Federal",,74641,,148.1,"%",9.5,"%",,,50403,,125044,,"J","J"
"State",,499388,,71.7,,5.6,,,,696705,,1195916,,,
,,,,,,,,,,,,,,,
"Northeast",,47568,,40.0,"%",3.4,"%",,,119063,,166631,,,
"Connecticut",,5384,,69.3,,5.4,,,,7771,,13155,,"J","J"
"Maine",,155,,10.5,,1.0,,,,1480,,1635,,"J","J"
"Massachusetts/a",,1580,,20.0,,1.8,,,,7899,,9479,,"C","J"
"New Hampshire",,915,,68.2,,5.3,,,,1342,,2257,,"J","J"
"New Jersey",,8656,,41.0,,3.5,,,,21128,,29784,,"J","J"
"New York",,15303,,27.9,,2.5,,,,54895,,70198,,"J","J"
"Pennsylvania",,14563,,65.4,,5.2,,,,22281,,36844,,"J","J"
"Rhode Island",,380,,24.0,,2.2,,,,1586,,1966,,"J","J"
"Vermont",,632,,92.8,,6.8,,,,681,,1313,,"J","J"
,,,,,,,,,,,,,,,
"Midwest",,90604,,62.2,"%",5.0,"%",,,145581,,236185,,,
"Illinois",,17765,,64.6,,5.1,,,,27516,,45281,,"C","C"
"Indiana/a",,7466,,59.2,,4.8,,,,12615,,20081,,"C","J"
"Iowa",,3988,,100.5,,7.2,,,,3967,,7955,,"C","C"
"Kansas",,2569,,44.5,,3.7,,,,5775,,8344,,"J","J"
"Michigan/a",,13451,,39.3,,3.4,,,,34267,,47718,,"C","J"
"Minnesota",,3062,,96.4,,7.0,,,,3176,,6238,,"J","J"
"Missouri",,12356,,82.7,,6.2,,,,14943,,27299,,"J","J"
