"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"Filename:  p0005.csv",,,,,,,,,,,,,,,
"Table #5:  The 10 highest and lowest jurisdictions for selected characteristics of the prison population, yearend 2000. ",,,,,,,,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 5.  The 10 highest and lowest jurisdictions for selected characteristics of the prison population, yearend 2000. ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"Rate per",,,,,,,,"Average",
"Prison",,"Number of ",,"Incarceration",,"100,000 State",,"1-year growth,",,"Percent",,"Growth since ",,"percent",
"population",,"inmates",,"rates, 2000",,"residents/a",,"1999 to 2000",,"change",,1990,,"change/b",
,,,,,,,,,,,,,,,
"10 highest:",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"California",,163001,,"Louisiana",,801,,"Idaho",,14.1,"%","Idaho",,10.9,"%"
"Texas",,157997,,"Texas",,730,,"North Dakota",,14.1,,"Texas",,10.2,
"Federal",,145416,,"Mississippi",,688,,"Mississippi",,10.9,,"Federal",,9.5,
"Florida",,71319,,"Oklahoma",,685,,"Vermont",,10.5,,"West Virginia",,9.3,
"New York",,70198,,"Georgia",,550,,"Iowa",,10.0,,"Mississippi",,9.1,
"Michigan",,47718,,"Alabama",,549,,"Rhode Island",,9.4,,"North Dakota",,8.6,
"Ohio",,45833,,"South Carolina",,532,,"West Virginia",,9.2,,"Washington",,8.4,
"Illinois",,45281,,"Nevada",,518,,"Oregon",,7.8,,"Colorado",,8.2,
"Georgia",,44232,,"Arizona",,515,,"Federal",,7.5,,"Montana",,8.1,
"Pennsylvania",,36847,,"Delaware",,513,,"Colorado",,7.4,,"Tennessee",,7.9,
,,,,,,,,,,,,,,,
"10 lowest:",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"North Dakota",,1076,,"Minnesota",,128,,"District of Columbia",,-13.8,"%","Maine",,1.0,"%"
"Maine",,1679,,"Maine",,129,,"Massachusetts",,-5.6,,"Alaska",,1.4,
"Wyoming",,1680,,"North Dakota",,158,,"New Jersey",,-5.4,,"Massachusetts",,1.8,
"Vermont",,1697,,"New Hampshire",,185,,"New York",,-3.7,,"Rhode Island",,2.2,
"New Hampshire",,2257,,"Rhode Island",,197,,"Texas",,-3.2,,"New York",,2.5,
"South Dakota",,2616,,"West Virginia",,211,,"Kentucky",,-2.6,,"South Carolina",,2.6,
"Montana",,3105,,"Vermont",,218,,"Kansas",,-2.6,,"Maryland",,3.0,
"Rhode Island",,3286,,"Nebraska",,228,,"Maine",,-2.2,,"Michigan",,3.4,
"West Virginia",,3856,,"Washington",,251,,"Ohio",,-2.2,,"New Jersey",,3.5,
"Nebraska",,3895,,"Utah",,254,,"Wyoming",,-1.9,,"Ohio",,3.7,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"a/The number of prisoners with a sentence of more than 1 year per 100,000 residents in the ",,,,,,,,,,,,,,,
"State population. The Federal Bureau of Prisons and the District of Columbia are excluded.",,,,,,,,,,,,,,,
"b/The average annual percent change from 1990 to 2000. ",,,,,,,,,,,,,,,
