"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,
"Filename:  p0007.csv",,,,,,,,,,,,,,,,,
"Table #7:  Women under the jurisdiction of State or Federal ",,,,,,,,,,,,,,,,,
"correctional authorities, 1990-2000",,,,,,,,,,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Figures for calculating",,,,
,,,,,,,,,,,,,"percent change and rates",,,,
"Table 9. Women under the jurisdiction of State or Federal ",,,,,,,,,,,,,,,,,
"correctional authorities, 1990-2000",,,,,,,,,,,,,"For percent change",,"For incarcer-",,"For incarcer-"
,,,,,,,,,,,,,"1999-2000:",,"ation rate:",,"ation rate:"
,,"Number of ",,,"    Percent change          ",,,,,,,,,,,,
,,"female inmates",,,1999,,"Average, ",,"Incarceration",,,,"Total female",,"Female inmates",,"U.S. female resident"
,"                             ","   2000   ","  1990  ",,-2000,"     ","1990 to 00/a     ",,"rate, 2000/b       ",,,,"inmates 1999",," >1 yr 2000",,"population"
,,,,,,,,,,,,,,,,,
"U.S. Total",,91612,44065,,1.2,"%",7.6,"%",59,,,,90530,,83953,,141272
,,,,,,,,,,,,,,,,,
"Federal",,10245,5011,,3.3,"%",7.4,"%",6,,,,9913,,8397,,141272
"State",,81367,39054,,0.9,,7.6,,53,,,,80617,,75556,,141272
,,,,,,,,,,,,,,,,,
"Northeast",,9081,6293,,-6.7,"%",3.7,"%",29,,,,9730,,7816,,26957
"Connecticut",,1406,683,,-3.6,,7.5,,46,,,,1459,,790,,1699
"Maine",,66,44,,1.5,,4.1,,10,,,,65,,62,,646
"Massachusetts/c",,663,582,,-10.6,,1.3,,7,,,,742,,229,,3214
"New Hampshire",,120,44,,2.6,,10.6,,19,,,,117,,120,,619
"New Jersey",,1650,1041,,-11.4,,4.7,,39,,,,1862,,1650,,4239
"New York",,3279,2691,,-9.4,,2.0,,34,,,,3620,,3279,,9505
"Pennsylvania",,1579,1006,,-2.4,,4.6,,25,,,,1618,,1578,,6213
"Rhode Island",,238,166,,26.6,,3.7,,12,,,,188,,64,,517
"Vermont",,80,36,,35.6,,8.3,,14,,,,59,,44,,305
,,,,,,,,,,,,,,,,,
"Midwest",,14578,7521,,3.1,"%",6.8,"%",45,,,,14140,,14532,,32621
"Illinois",,2849,1183,,1.7,,9.2,,46,,,,2802,,2849,,6251
"Indiana/c",,1452,681,,18.8,,7.9,,47,,,,1222,,1447,,3073
"Iowa",,592,212,,9.8,,10.8,,40,,,,539,,592,,1475
"Kansas",,504,284,,-11.6,,5.9,,37,,,,570,,504,,1356
"Michigan/c",,2131,1688,,5.1,,2.4,,42,,,,2027,,2131,,5100
"Minnesota",,368,159,,3.7,,8.8,,15,,,,355,,368,,2458
"Missouri",,1988,777,,5.1,,9.8,,70,,,,1891,,1983,,2841
"Nebraska",,266,145,,6.0,,6.3,,30,,,,251,,256,,854
"North Dakota",,68,20,,-2.9,,13.0,,17,,,,70,,54,,316
"Ohio",,2808,1947,,-1.2,,3.7,,48,,,,2841,,2808,,5821
"South Dakota",,200,77,,5.8,,10.0,,53,,,,189,,200,,376
"Wisconsin",,1352,348,,-2.2,,14.5,,50,,,,1383,,1340,,2700
,,,,,,,,,,,,,,,,,
"South",,38058,15366,,1.7,"%",9.5,"%",69,,,,37425,,34826,,50391
"Alabama",,1556,955,," --  ",,5.0,,66,,,,1668,,1520,,2286
"Arkansas",,772,435,,-2.0,,5.9,,57,,,,788,,767,,1335
"Delaware",,597,226,,-2.5,,10.2,,62,,,,612,,245,,393
