"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,
"Filename:  p0008.csv",,,,,,,,,,,,,,,,,,
"Table #8:  State and Federal prisoners held in private facilites, local jails, or other States' facilities, by jurisdiction, yearend 2000",,,,,,,,,,,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 8.   State and Federal prisoners held in private facilites, local jails, or other States' facilities, by jurisdiction, yearend 2000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Figures for "
,,,,,,,,,,,,"In other State or ",,,,,,"percents:"
,,"       Private facilities",,,,,"         Local jails     ",,,,,"Federal facilities   ",,,,,,
,,,,"Percent of all",,,,,"Percent of all",,,,,"Percent of all",,,,"All Inmates,"
"                 ",,"Number",,"inmates/a           ",,,"Number     ",,"inmates/a        ",,,"Number      ",,"inmates/a      ",,,,"2000"
"U.S. Total",,87369,,6.3,"%",,63140,,4.6,"%",,7243,,0.5,"%",,,1381901
,,,,,,,,,,,,,,,,,,
"Federal/b",,15524,,10.7,,,2438,,1.7,,,1249,,0.9,,,,145416
"State",,71845,,5.8,,,60702,,4.9,,,5994,,0.5,,,,1236485
,,,,,,,,,,,,,,,,,,
"Northeast",,2509,,1.4,"%",,3823,,2.2,"%",,1260,,0.7,"%",,,174825
"Connecticut",,0,,0,,," --  ",," --  ",,,470,,2.6,,,,18355
"Maine",,11,,0.7,,,24,,1.4,,,59,,3.5,,,,1679
"Massachusetts",,0,,0,,,457,,4.3,,,95,,0.9,,,,10722
"New Hampshire",,0,,0,,,14,,0.6,,,78,,3.5,,,,2257
"New Jersey/c",,2498,,8.4,,,3225,,10.8,,,72,,0.2,,,,29784
"New York",,0,,0,,,45,,0.1,,,0,,0.0,,,,70198
"Pennsylvania",,0,,0,,,58,,0.2,,,47,,0.1,,,,36847
"Rhode Island/c",,0,,0,,," --  ",," --  ",,,49,,1.5,,,,3286
"Vermont/c",,0,,0,,," --  ",," --  ",,,390,,23.0,,,,1697
,,,,,,,,,,,,,,,,,,
"Midwest",,7836,,3.3,"%",,2103,,0.9,"%",,863,,0.4,"%",,,237016
"Illinois",,0,,0,,,0,,0.0,,,36,,0.1,,,,45281
"Indiana",,991,,4.9,,,1187,,5.9,,,0,,0.0,,,,20125
"Iowa",,0,,0,,,0,,0.0,,,0,,0.0,,,,7955
"Kansas",,0,,0,,,0,,0.0,,,87,,1.0,,,,8344
"Michigan",,449,,0.9,,,286,,0.6,,,0,,0.0,,,,47718
"Minnesota",,0,,0,,,149,,2.4,,,144,,2.3,,,,6238
"Missouri",,0,,0,,,0,,0.0,,,61,,0.2,,,,27323
"Nebraska",,0,,0,,,0,,0.0,,,29,,0.7,,,,3895
"North Dakota",,96,,8.9,,,38,,3.5,,,18,,1.7,,,,1076
"Ohio",,1918,,4.2,,,0,,0.0,,,39,,0.1,,,,45833
"South Dakota",,45,,1.7,,,16,,0.6,,,23,,0.9,,,,2616
"Wisconsin",,4337,,21.0,,,427,,2.1,,,426,,2.1,,,,20612
,,,,,,,,,,,,,,,,,,
"South",,45560,,8.3,"%",,49455,,9.0,"%",,2367,,0.4,"%",,,552225
