"Bureau of Justice Statistics",
"Filename:  p0010.csv",
"Table #10:  State prison population as a percent of capacity, yearend 2000",
"Report title:  Prisoners in 2000 NCJ 188207",
"Data source:  National Prisoner Statistics-1",
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",
"Contact:  Allen Beck or Paige Harrison",
"Date of version:  8/8/01",
,
"Table 10.  State prison population  as a percent of capacity, yearend 2000",
,
,"State prisons/a"
,
"Highest capacity",1151222
"Lowest capacity",1000736
,
"Population as a ",
"percent of capacity/b",
"Highest",
"  1990",115
"  1999 (comparable)",109
"  1999 (revised)",101
"  2000",100
,
"Lowest",
"  1990",127
"  1999",117
"  2000",115
,
"Note:  Data reflect the highest and lowest of the three capacities reported.  ",
"In 1999 California reported operational capacity for the first time; for comparisons ",
"with previous years, use 1,041,139 as the highest capacity of State prisons. ",
"a/Capacity figures were estimated for Connecticut in 1999 and 2000. ",
"b/Excludes inmates sentenced to prison but held in local jails and inmates in private ",
"facilities (unless included in the reported capacity).   See Jurisdiction notes.  ",
