"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0019.csv",,,,,,,,,
"Table #19:  Number of sentenced inmates in Federal prisons, by most serious offense, 1990, 1995, and 1999",,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,
,,,,,,,,,
"Table 19.  Number of sentenced inmates in Federal prisons, by most serious offense, 1990, 1995, and 1999",,,,,,,,,
,,,,,,,,,
,,"Number of sentenced inmates",,,,"Percent",,"Percent of ",
,,"in Federal prisons",,,,"change",,"total growth",
,,"  1990","  1995","  1999",,"1990-99",,"1990-1999",
,,,,,,,,,
"   Total",,56989,88101,119185,,109.1,"%",100.0,"%"
,,,,,,,,,
"Violent offenses",,9557,11321,13355,,39.7,"%",6.1,"%"
"   Homicide/a",,1233,966,1498,,21.5,,0.4,
"   Robbery",,5158,6341,9354,,81.3,,6.7,
"   Other violent",,3166,4014,2503,,-20.9,,-1.1,
,,,,,,,,,
"Property offenses",,7935,7524,8682,,9.4,"%",1.2,"%"
"   Burglary",,442,164,195,,-55.9,,-0.4,
"   Fraud",,5113,5629,6553,,28.2,,2.3,
"   Other property",,2380,1731,1934,,-18.7,,-0.7,
,,,,,,,,,
"Drug offenses",,30470,51737,68360,,124.4,"%",60.9,"%"
,,,,,,,,,
"Public-order",,8585,15762,26456,,208.2,"%",28.7,"%"
"   Immigration",,1728,3612,10156,,487.7,,13.6,
"   Weapons",,3073,7519,9494,,208.9,,10.3,
"   Other",,3784,4631,6806,,79.9,,4.9,
,,,,,,,,,
"Other/unspecified/b",,442,1757,2332,,427.6,"%",3.0,"%"
,,,,,,,,,
"Note: All data are from the BJS Federal Justice Statistics database. Data for",,,,,,,,,
"1990 and 1995 are for December 31.  Data for 1999 are for September 30.",,,,,,,,,
"Data are based on all sentenced inmates, regardless of sentence length.",,,,,,,,,
"a/Includes murder, nonnegligent manslaughter, and negligent manslaughter.",,,,,,,,,
"b/Includes offenses not classifiable or not a violation of the United States Code.",,,,,,,,,
