Bureau of Justice Statistics,,,,,,,,,,,
Filename: p08at04.csv,,,,,,,,,,,
"Appendix table 4. Females prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 4: Females prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
,,Number of female prisoners,,,,,,,,,
Region and jurisdiction,,12/31/2000,,12/31/2007,,12/31/2008,,"Average annual change, 2000-2007",,"Percent change, 2007-2008",
U.S. total,,"93,234",,"114,505",,"114,852",,3,%,0.3,%
,Federal,"10,245",,"13,338",,"13,273",,3.8,,-0.5,
,State,"82,989",,"101,167",,"101,579",,2.9,,0.4,
Northeast,,"9,082",,"9,694",,"9,844",,0.9,%,1.5,%
,Connecticut/a,"1,406",,"1,496",,"1,502",,0.9,,0.4,
,Maine,66,,139,,156,,11.2,,12.2,
,Massachusetts,663,,790,,751,,2.5,,-4.9,
,New Hampshire,120,,202,,234,,7.7,,15.8,
,New Jersey,"1,650",,"1,410",,"1,299",,-2.2,,-7.9,
,New York,"3,280",,"2,754",,"2,587",,-2.5,,-6.1,
,Pennsylvania,"1,579",,"2,463",,"2,954",,6.6,,19.9,
,Rhode Island/a,238,,282,,243,,2.5,,-13.8,
,Vermont/a,80,,158,,118,,10.2,,-25.3,
Midwest,,"14,598",,"17,929",,"17,741",,3,%,-1,%
,Illinois,"2,849",,"2,824",,"2,721",,-0.1,,-3.6,
,Indiana,"1,452",,"2,295",,"2,493",,6.8,,8.6,
,Iowa/b,592,,717,,749,,2.8,,4.5,
,Kansas,504,,625,,569,,3.1,,-9,
,Michigan,"2,131",,"2,080",,"1,957",,-0.3,,-5.9,
,Minnesota,368,,602,,628,,7.3,,4.3,
,Missouri,"1,993",,"2,522",,"2,449",,3.4,,-2.9,
,Nebraska,266,,399,,390,,6,,-2.3,
,North Dakota,68,,147,,160,,11.6,,8.8,
,Ohio,"2,808",,"3,822",,"3,913",,4.5,,2.4,
,South Dakota,200,,369,,355,,9.1,,-3.8,
,Wisconsin,"1,367",,"1,527",,"1,357",,1.6,,-11.1,
South,,"39,652",,"48,503",,"49,050",,2.9,%,1.1,%
,Alabama,"1,826",,"2,158",,"2,231",,2.4,,3.4,
,Arkansas,772,,"1,066",,"1,060",,4.7,,-0.6,
,Delaware/a,597,,577,,557,,-0.5,,-3.5,
,District of Columbia,356,,~,,~,,:,,:,
,Florida,"4,105",,"6,854",,"7,151",,7.6,,4.3,
,Georgia/b,"2,758",,"3,545",,"3,692",,3.7,,4.1,
,Kentucky,"1,061",,"2,441",,"2,270",,12.6,,-7,
,Louisiana,"2,219",,"2,458",,"2,516",,1.5,,2.4,
,Maryland,"1,219",,"1,184",,"1,060",,-0.4,,-10.5,
,Mississippi,"1,669",,"1,962",,"1,981",,2.3,,1,
,North Carolina,"1,903",,"2,626",,"2,778",,4.7,,5.8,
,Oklahoma,"2,394",,"2,607",,"2,524",,1.2,,-3.2,
,South Carolina,"1,420",,"1,604",,"1,633",,1.8,,1.8,
,Tennessee,"1,369",,"1,923",,"2,129",,5,,10.7,
,Texas,"13,622",,"13,931",,"13,853",,0.3,,-0.6,
,Virginia,"2,059",,"2,933",,"2,967",,5.2,,1.2,
,West Virginia,303,,634,,648,,11.1,,2.2,
West,,"19,657",,"25,041",,"24,944",,3.5,%,-0.4,%
,Alaska/a,284,,564,,503,,10.3,,-10.8,
,Arizona/b,"1,964",,"3,460",,"3,766",,8.4,,8.8,
,California,"11,161",,"11,628",,"11,620",,0.6,,-0.1,
,Colorado,"1,333",,"2,335",,"2,294",,8.3,,-1.8,
,Hawaii/b,561,,746,,728,,4.2,,-2.4,
,Idaho,493,,800,,758,,7.2,,-5.3,
,Montana,306,,301,,363,,-0.2,,20.6,
,Nevada/c,846,,"1,179",,982,,:,,:,
,New Mexico,511,,576,,569,,1.7,,-1.2,
,Oregon,596,,"1,060",,"1,109",,8.6,,4.6,
,Utah,381,,632,,640,,7.5,,1.3,
,Washington,"1,065",,"1,514",,"1,404",,5.2,,-7.3,
,Wyoming,156,,246,,208,,6.7,,-15.4,
"~Not applicable. After 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons. ",,,,,,,,,,,
:Not calculated.,,,,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,
b/Prison population based on custody counts.,,,,,,,,,,,
"c/Includes estimates for Nevada for December 31, 2007. See Methodology.",,,,,,,,,,,
