Bureau of Justice Statistics,,,,,,,,,
Filename: p08at06.csv,,,,,,,,,
"Appendix table 6. Number of sentenced male prisoners under the jurisdiction of state and federal correctional authorities, December 31, 2000-2008",,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,
,,,,,,,,,
"Appendix table 6: Number of sentenced male prisoners under the jurisdiction of state and federal correctional authorities, December 31, 2000-2008",,,,,,,,,
,,Number of sentenced male prisoners,,,,,,,
Year,,Total,,Federal,,State,,Percent of all sentenced prisoners,
2000,,"1,246,234",,"116,647",,"1,129,587",,93.6,%
2001,,"1,260,033",,"127,519",,"1,132,514",,93.7,
2002,,"1,291,450",,"133,732",,"1,157,718",,93.5,
2003,,"1,315,790",,"142,149",,"1,173,641",,93.4,
2004,,"1,337,730",,"148,930",,"1,188,800",,93.3,
2005,,"1,364,178",,"155,678",,"1,208,500",,93.3,
2006,,"1,401,317",,"162,417",,"1,238,900",,93.1,
2007,,"1,427,064",,"167,676",,"1,259,388",,93.1,
2008,,"1,434,784",,"170,755",,"1,264,029",,93.2,
"Average annual change, 2000-2007",,2,%,5.3,%,1.6,%,:,
"Percent change, 2007-2008",,0.5,,1.8,,0.4,,:,
Note: Totals based on prisoners with a sentence of more than 1 year. ,,,,,,,,,
:Not calculated.,,,,,,,,,
