Bureau of Justice Statistics,,,,,,,,,
Filename: p08at08.csv,,,,,,,,,
"Appendix table 8: Number of sentenced female prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000-2008",,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,
,,,,,,,,,
"Appendix table 8: Number of sentenced female prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2000-2008",,,,,,,,,
,,Number of sentenced female prisoners,,,,,,,
Year,,Total,,Federal,,State,,Percent of all sentenced prisoners,
2000,,"85,044",,"8,397",,"76,647",,6.4,%
2001,,"85,184",,"8,990",,"76,194",,6.3,
2002,,"89,066",,"9,308",,"79,758",,6.5,
2003,,"92,571",,"9,770",,"82,801",,6.6,
2004,,"95,998",,"10,207",,"85,791",,6.7,
2005,,"98,688",,"10,495",,"88,193",,6.7,
2006,,"103,343",,"11,116",,"92,227",,6.9,
2007,,"105,786",,"11,528",,"94,258",,6.9,
2008,,"105,252",,"11,578",,"93,674",,6.8,
"Average annual change, 2000-2007",,3.2,%,4.6,%,3,%,:,
"Percent change, 2007-2008",,-0.5,,0.4,,-0.6,,:,
Note: Totals based on prisoners with a sentence of more than 1 year. ,,,,,,,,,
:Not calculated.,,,,,,,,,
