Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p08at10.csv,,,,,,,,,,,,
"Appendix table 10. Imprisonment rates of sentenced prisoners under jurisdiction of state and federal correctional authorities, by gender and jurisdiction, December 31, 2007 and 2008",,,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 10: Imprisonment rates of sentenced prisoners under jurisdiction of state and federal correctional authorities, by gender and jurisdiction, December 31, 2007 and 2008",,,,,,,,,,,,
,,Imprisonment rate,,,,,,,,,,
,,2007,,,,,,2008,,,,
Region and jurisdiction,,Total,,Male,,Female,,Total,,Male,,Female
U.S. total,,506,,955,,69,,504,,952,,68
,Federal,59,,112,,8,,60,,113,,7
,State,447,,844,,61,,445,,840,,61
Northeast,,306,,598,,30,,306,,597,,30
,Connecticut/a,410,,794,,45,,407,,787,,45
,Maine,148,,284,,18,,151,,289,,19
,Massachusetts/b,249,,499,,13,,218,,434,,13
,New Hampshire,222,,420,,29,,220,,410,,35
,New Jersey,308,,597,,32,,298,,578,,29
,New York,322,,635,,27,,307,,605,,25
,Pennsylvania,365,,710,,38,,393,,762,,42
,Rhode Island/a,235,,463,,21,,240,,475,,19
,Vermont/a,260,,495,,32,,260,,504,,24
Midwest,,393,,743,,52,,392,,741,,52
,Illinois,350,,668,,42,,351,,669,,41
,Indiana,426,,791,,71,,442,,818,,77
,Iowa/c,291,,542,,47,,291,,538,,49
,Kansas,312,,584,,44,,303,,570,,40
,Michigan,499,,971,,41,,488,,951,,39
,Minnesota,181,,341,,23,,179,,336,,24
,Missouri,506,,948,,83,,509,,957,,81
,Nebraska,243,,449,,41,,247,,455,,42
,North Dakota,221,,394,,46,,225,,400,,50
,Ohio,442,,838,,65,,449,,851,,66
,South Dakota,413,,736,,92,,412,,738,,87
,Wisconsin,397,,748,,50,,374,,709,,43
South,,556,,"1,050",,79,,552,,"1,043",,77
,Alabama,615,,"1,180",,85,,634,,"1,215",,88
,Arkansas,502,,949,,73,,511,,969,,72
,Delaware/a,482,,945,,47,,463,,906,,45
,Florida,535,,"1,013",,73,,557,,"1,054",,76
,Georgia/c,563,,"1,069",,72,,540,,"1,021",,74
,Kentucky,512,,934,,107,,492,,902,,98
,Louisiana,865,,"1,664",,111,,853,,"1,642",,109
,Maryland,404,,793,,39,,403,,796,,33
,Mississippi,734,,"1,385",,121,,735,,"1,389",,121
,North Carolina,361,,696,,41,,368,,707,,42
,Oklahoma,665,,"1,211",,131,,661,,"1,203",,132
,South Carolina,524,,"1,009",,64,,519,,"1,000",,63
,Tennessee,424,,804,,61,,436,,824,,66
,Texas,669,,"1,244",,97,,639,,"1,191",,87
,Virginia,490,,921,,74,,489,,918,,75
,West Virginia,333,,610,,68,,331,,604,,69
West,,438,,807,,67,,436,,803,,67
,Alaska/a,447,,785,,82,,430,,752,,79
,Arizona/c,554,,"1,009",,97,,567,,"1,031",,101
,California,471,,880,,62,,467,,872,,62
,Colorado,465,,829,,96,,467,,834,,93
,Hawaii/a,338,,594,,79,,332,,585,,74
,Idaho,483,,854,,106,,474,,844,,99
,Montana,356,,649,,62,,368,,660,,74
,Nevada/b,:,,:,,:,,486,,880,,76
,New Mexico,313,,580,,54,,316,,583,,56
,Oregon,369,,686,,56,,371,,688,,58
,Utah,239,,428,,46,,232,,415,,45
,Washington,273,,500,,46,,272,,501,,43
,Wyoming,394,,686,,95,,387,,687,,79
"Note: Imprisonment rate is the number of prisoners sentenced to more than 1 year per 100,000 U.S. residents. ",,,,,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
"b/The 2008 imprisonment rate includes 4,012 male prisoners sentenced to more than 1 year but held in local jails or houses of corrections in the Commonwealth of Massachusetts. The 2007 imprisonment rate includes 6,200 sentenced males held in local jails or houses of corrections in the Commonwealth of Massachusetts and an estimated number of sentenced prisoners in Nevada. See Methodology.",,,,,,,,,,,,
c/Prison population based on custody counts.,,,,,,,,,,,,
