Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p08at13.csv,,,,,,,,,,,,,,,,
"Appendix table 13. Estimated number of sentenced prisoners under state or federal jurisdiction, by gender, race, Hispanic origin, and age, December 31, 2008",,,,,,,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 13: Estimated number of sentenced prisoners under state or federal jurisdiction, by gender, race, Hispanic origin, and age, December 31, 2008",,,,,,,,,,,,,,,,
,,Male,,,,,,,,Female,,,,,,
Age,,Total/a,,White/b,,Black/b,,Hispanic,,Total/a,,White/b,,Black/b,,Hispanic
Total/c,,"1,434,800",,"477,500",,"562,800",,"295,800",,"105,300",,"50,700",,"29,100",,"17,300"
18-19,,"23,800",,"6,500",,"10,400",,"4,900",,"1,000",,400,,300,,200
20-24,,"208,400",,"59,400",,"85,000",,"48,400",,"11,500",,"5,400",,"3,000",,"2,300"
25-29,,"246,400",,"66,000",,"102,800",,"60,000",,"16,000",,"7,300",,"4,400",,"3,100"
30-34,,"238,100",,"70,700",,"96,800",,"54,400",,"18,500",,"8,900",,"5,000",,"3,200"
35-39,,"226,700",,"75,200",,"90,500",,"45,900",,"20,800",,"9,900",,"5,900",,"3,200"
40-44,,"202,500",,"75,500",,"77,400",,"35,600",,"17,900",,"8,700",,"5,100",,"2,600"
45-49,,"136,300",,"53,100",,"51,300",,"22,600",,"10,700",,"5,200",,"3,100",,"1,500"
50-54,,"75,800",,"31,600",,"27,000",,"12,300",,"5,000",,"2,500",,"1,400",,700
55-59,,"39,100",,"19,000",,"11,900",,"6,200",,"2,100",,"1,300",,500,,300
60-64,,"19,200",,"10,700",,"4,700",,"3,000",,"1,000",,600,,200,,200
65 or older,,"15,800",,"9,300",,"3,700",,"2,200",,600,,400,,100,,100
Note: Totals based on prisoners with a sentence of more than 1 year. See Methodology for estimation method. ,,,,,,,,,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin. ,,,,,,,,,,,,,,,,
c/Includes persons under age 18. ,,,,,,,,,,,,,,,,
