Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p08at14.csv,,,,,,,,,,,,,,,,
"Appendix table 14. Estimated rate of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents, by gender, race, Hispanic origin, and age, December 31, 2008",,,,,,,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 14: Estimated rate of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents, by gender, race, Hispanic origin, and age, December 31, 2008",,,,,,,,,,,,,,,,
,Male,,,,,,,,,Female,,,,,,
Age,Total/a,,White/b,,Black/b,,Hispanic,,,Total/a,,White/b,,Black/b,,Hispanic
Total/c,952,,487,,"3,161",,"1,200",,,68,,50,,149,,75
18-19,528,,238,,"1,532",,614,,,23,,16,,44,,25
20-24,"1,916",,893,,"5,553",,"2,474",,,112,,86,,202,,131
25-29,"2,238",,"1,017",,"7,130",,"2,612",,,153,,115,,301,,167
30-34,"2,366",,"1,217",,"8,032",,"2,411",,,190,,155,,380,,174
35-39,"2,159",,"1,171",,"7,392",,"2,263",,,201,,156,,434,,183
40-44,"1,903",,"1,090",,"6,282",,"2,032",,,169,,127,,364,,170
45-49,"1,202",,671,,"4,056",,"1,523",,,93,,65,,211,,106
50-54,713,,407,,"2,385",,"1,085",,,45,,31,,106,,61
55-59,429,,276,,"1,325",,739,,,22,,18,,44,,30
60-64,259,,184,,738,,502,,,12,,9,,25,,23
65 or older,95,,69,,294,,186,,,3,,2,,6,,4
"Note: Totals based on prisoners with a sentence of more than 1 year. Rates are per 100,000 U.S. residents in each reference population group. See Methodology for estimation method. ",,,,,,,,,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,,,,,,,,,,
b/Excludes persons of Hispanic or Latino origin. ,,,,,,,,,,,,,,,,
c/Includes persons under age 18. ,,,,,,,,,,,,,,,,
