Bureau of Justice Statistics,,,,,,,,,,
Filename: p08at18.csv,,,,,,,,,,
"Appendix table 18. Number of state or federal prisoners in private facilities, December 31, 2000-2008",,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,
,,,,,,,,,,
"Appendix table 18: Number of state or federal prisoners in private facilities, December 31, 2000-2008",,,,,,,,,,
,,Number of prisoners,,,,,,,Percent of all prisoners,
Year,,Total,,Federal,,State,,,,
2000,,"87,369",,"15,524",,"71,845",,,6.3,%
2001,,"91,828",,"19,251",,"72,577",,,5.8,
2002,,"93,912",,"20,274",,"73,638",,,6.5,
2003,,"95,707",,"21,865",,"73,842",,,6.5,
2004,,"98,628",,"24,768",,"73,860",,,6.6,
2005,,"107,940",,"27,046",,"80,894",,,7.1,
2006,,"113,697",,"27,726",,"85,971",,,7.2,
2007,,"123,942",,"31,310",,"92,632",,,7.8,
2008,,"128,524",,"33,162",,"95,362",,,8,%
"Average annual change, 2000-2007",,5.1,%,10.5,%,3.7,%,,:,
"Percent change, 2007-2008",,3.7,,5.9,,2.9,,,:,
:Not calculated. ,,,,,,,,,,
