Bureau of Justice Statistics,,,,,,,,,
Filename: p08at19.csv,,,,,,,,,
"Appendix table 19. Number of state and federal prisoners in private facilities, by jurisdiction, December 31, 2000, 2006-2008",,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,
,,,,,,,,,
"Appendix table 19: Number of state and federal prisoners in private facilities, by jurisdiction, December 31, 2000, 2006-2008",,,,,,,,,
,,Number of prisoners,,,,,,Percent of all prisoners,
Region and jurisdiction,,12/31/2000,,12/31/2007,,12/31/2008,,12/31/2008,
U.S. total,,"87,369",,"123,942",,"128,524",,8,%
,Federal/a,"15,524",,"31,310",,"33,162",,16.5,
,State,"71,845",,"92,632",,"95,362",,6.8,
Northeast,,"2,509",,"4,268",,"4,186",,2.3,%
,Connecticut,0,,0,,0,,0,
,Maine,11,,42,,0,,0,
,Massachusetts,0,,0,,0,,0,
,New Hampshire,0,,0,,0,,0,
,New Jersey/b,"2,498",,"2,686",,"2,641",,10.2,
,New York,0,,0,,0,,0,
,Pennsylvania,0,,"1,022",,819,,1.6,
,Rhode Island,0,,0,,0,,0,
,Vermont/b,0,,518,,726,,34.3,
Midwest,,"7,836",,"5,048",,"5,415",,2.1,%
,Illinois,0,,/,,/,,:,
,Indiana,991,,"1,683",,"2,642",,9.3,
,Iowa,0,,0,,0,,0,
,Kansas,0,,0,,0,,0,
,Michigan,449,,0,,0,,0,
,Minnesota,0,,"1,183",,612,,6.5,
,Missouri,0,,0,,0,,0,
,Nebraska,0,,0,,0,,0,
,North Dakota,96,,0,,0,,0,
,Ohio,"1,918",,"2,138",,"2,133",,4.1,
,South Dakota,45,,21,,15,,0.4,
,Wisconsin,"4,337",,23,,13,,0.1,
South,,"45,560",,"56,117",,"57,888",,8.9,%
,Alabama,0,,355,,101,,0.3,
,Arkansas,"1,540",,0,,0,,0,
,Delaware,0,,0,,0,,0,
,District of Columbia,"2,342",,~,,~,,:,
,Florida,"3,912",,"8,769",,"9,158",,8.9,
,Georgia,"3,746",,"4,974",,"5,138",,9.7,
,Kentucky,"1,268",,"2,404",,"2,209",,10.2,
,Louisiana,"3,068",,"3,004",,"2,928",,7.6,
,Maryland,127,,151,,186,,0.8,
,Mississippi,"3,230",,"4,794",,"5,497",,24.2,
,North Carolina,330,,213,,217,,0.5,
,Oklahoma,"6,931",,"5,917",,"5,711",,22.1,
,South Carolina,0,,9,,12,,0,
,Tennessee,"3,510",,"5,121",,"5,155",,18.9,
,Texas,"13,985",,"18,871",,"20,041",,11.6,
,Virginia,"1,571",,"1,535",,"1,535",,4,
,West Virginia,0,,0,,0,,0,
West/a,,"15,940",,"27,199",,"27,873",,8.8,%
,Alaska,"1,383",,"1,524",,"1,450",,28.9,
,Arizona,"1,430",,"7,790",,"8,369",,21.1,
,California,"4,547",,"3,032",,"3,019",,1.7,
,Colorado,/,,"4,878",,"5,274",,22.7,
,Hawaii,"1,187",,"2,129",,"2,108",,35.4,
,Idaho,"1,162",,"1,969",,"2,114",,29,
,Montana,986,,"1,324",,"1,314",,36.4,
,Nevada/a,508,,0,,0,,0,
,New Mexico,"2,155",,"2,720",,"2,935",,45.8,
,Oregon,0,,0,,0,,0,
,Utah,208,,0,,0,,0,
,Washington/c,0,,"1,203",,863,,4.8,
,Wyoming,275,,630,,427,,20.5,
:Not calculated.,,,,,,,,,
/Not reported.,,,,,,,,,
"~Not applicable. After 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,,
"a/Includes federal prisoners held in non-secure, privately operated facilities (8,644 at yearend 2008; numbers from other years can be found in earlier publications).",,,,,,,,,
b/Includes prisoners held in out-of-state private facilities.,,,,,,,,,
"c/Includes estimates for Nevada for December 31, 2007. See Methodology.",,,,,,,,,
