Bureau of Justice Statistics,,,,,,,,,,
Filename: p08at20.csv,,,,,,,,,,
"Appendix table 20. Number of state or federal prisoners in local facilities, December 31, 2000-2008",,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,
,,,,,,,,,,
"Appendix table 20: Number of state or federal prisoners in local facilities, December 31, 2000-2008",,,,,,,,,,
,,Number of prisoners,,,,,,,,
Year,,Total,,Federal,,State,,,Percent of all prisoners,
2000,,"63,140",,"2,438",,"60,702",,,4.5,%
2001,,"70,681",,"2,921",,"67,760",,,5,
2002,,"72,550",,"3,377",,"69,173",,,5,
2003,,"73,440",,"3,278",,"70,162",,,5,
2004,,"74,445",,"1,199",,"73,246",,,5,
2005,,"73,164",,"1,044",,"72,120",,,4.8,
2006,,"77,912",,"2,010",,"75,902",,,5,
2007,,"80,621",,"2,144",,"78,477",,,5,
2008,,"83,093",,"2,738",,"80,355",,,5.2,
"Average annual change, 2000-2007",,3.6,%,-1.8,%,3.7,%,,:,
"Percent change, 2007-2008",,3.1,,27.7,,2.4,,,:,
:Not calculated,,,,,,,,,,
