Bureau of Justice Statistics,,,,,,,,,
Filename: p08at21.csv,,,,,,,,,
"Appendix table 21. Number of state and federal prisoners in local jail facilities, by jurisdiction, December 31, 2000, 2006-2008",,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,
,,,,,,,,,
"Appendix table 21: Number of state and federal prisoners in local jail facilities, by jurisdiction, December 31, 2000, 2006-2008",,,,,,,,,
,,Number of prisoners held in local jails,,,,,,Percent of all prisoners,
Region and jurisdiction,,12/31/2000,,12/31/2007,,12/31/2008,,12/31/2008,
U.S. total,,"63,140",,"80,621",,"83,093",,5.2,%
,Federal,"2,438",,"2,144",,"2,738",,1.4,
,State,"60,702",,"78,477",,"80,355",,5.7,
Northeast,,"3,823",,"1,686",,"1,454",,0.8,%
,Connecticut/a,~,,~,,~,,:,
,Maine,24,,9,,90,,4.1,
,Massachusetts,457,,136,,185,,1.6,
,New Hampshire,14,,52,,46,,1.6,
,New Jersey,"3,225",,"1,468",,"1,122",,4.3,
,New York,45,,21,,11,,0,
,Pennsylvania,58,,0,,0,,0,
,Rhode Island/a,~,,~,,~,,:,
,Vermont/a,~,,~,,~,,:,
Midwest,,"2,103",,"3,381",,"3,567",,1.4,%
,Illinois,0,,0,,0,,0,
,Indiana,"1,187",,"2,002",,"1,930",,6.8,
,Iowa,0,,0,,0,,0,
,Kansas,0,,0,,0,,0,
,Michigan,286,,43,,28,,0.1,
,Minnesota,149,,518,,550,,5.8,
,Missouri,0,,0,,0,,0,
,Nebraska,0,,0,,0,,0,
,North Dakota,38,,48,,71,,4.9,
,Ohio,0,,0,,0,,0,
,South Dakota,16,,55,,58,,1.7,
,Wisconsin,427,,715,,930,,4,
South,,"49,455",,"67,071",,"69,445",,10.7,%
,Alabama,"3,401",,"1,596",,"1,790",,5.9,
,Arkansas,728,,"1,007",,"1,541",,10.5,
,Delaware/a,~,,~,,~,,:,
,District of Columbia/b,"1,329",,~,,~,,:,
,Florida,0,,"1,147",,"1,144",,1.1,
,Georgia,"3,888",,"4,919",,"4,690",,8.9,
,Kentucky,"3,850",,"7,912",,"7,363",,33.9,
,Louisiana,"15,599",,"17,079",,"17,524",,45.7,
,Maryland,118,,151,,141,,0.6,
,Mississippi,"3,700",,"4,952",,"4,858",,21.4,
,North Carolina,0,,0,,0,,0,
,Oklahoma,970,,"1,892",,"2,148",,8.3,
,South Carolina,433,,377,,361,,1.5,
,Tennessee,"5,204",,"7,019",,"7,860",,28.9,
,Texas,"6,477",,"12,774",,"12,805",,7.4,
,Virginia,"2,962",,"5,097",,"6,057",,15.8,
,West Virginia,796,,"1,149",,"1,163",,19.2,
West,,"5,321",,"6,339",,"5,889",,1.9,%
,Alaska/a,~,,~,,~,,:,
,Arizona,237,,46,,47,,0.1,
,California,"2,758",,"3,023",,"2,736",,1.6,
,Colorado,"2,178",,175,,63,,0.3,
,Hawaii/b,~,,~,,~,,:,
,Idaho,450,,575,,365,,5,
,Montana,548,,522,,642,,17.8,
,Nevada/c,175,,155,,199,,1.6,
,New Mexico,0,,116,,0,,0,
,Oregon,7,,23,,20,,0.1,
,Utah,"1,050",,"1,286",,"1,341",,20.5,
,Washington,0,,362,,430,,2.4,
,Wyoming,17,,56,,46,,2.2,
~Not applicable.,,,,,,,,,
/Not reported.,,,,,,,,,
:Not calculated.,,,,,,,,,
a/Prisons and jails form one integrated system.,,,,,,,,,
"b/After 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,,
"c/Includes estimates for Nevada for December 31, 2007. See Methodology.",,,,,,,,,
