Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p08at23.csv,,,,,,,,,,,,,,
"Appendix table 23. Prisoners under military jurisdiction, by branch of service, yearend 2007 and 2008",,,,,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Appendix table 23: Prisoners under military jurisdiction, by branch of service, yearend 2007 and 2008",,,,,,,,,,,,,,
,,Total,,,,,,,Sentenced to more than 1 year,,,,,
Branch of service,,2007,,2008,,"Percent change, 2007-2008",,,2007,,2008,,"Percent change, 2007-2008",
,Total,"1,794",,"1,651",,-8,%,,"1,089",,"1,005",,-7.7,%
To which prisoners belong,,,,,,,,,,,,,,
,Air Force,280,,281,,0.4,,,185,,178,,-3.8,
,Army,829,,701,,-15.4,,,555,,477,,-14.1,
,Marine Corps,396,,427,,7.8,,,164,,180,,9.8,
,Navy,268,,231,,-13.8,,,173,,163,,-5.8,
,Coast Guard,21,,11,,-47.6,,,12,,7,,-41.7,
Holding prisoners,,,,,,,,,,,,,,
,Air Force,61,,61,,0,,,9,,9,,0,
,Army,912,,746,,-18.2,,,721,,602,,-16.5,
,Marine Corps,338,,351,,3.8,,,97,,103,,6.2,
,Navy,483,,493,,2.1,,,262,,291,,11.1,
