Bureau of Justice Statistics,,,,
Filename: p08f02.csv,,,,
"Figure 2. Percent change in number of prisoners under state or federal jurisdiction, 2000-2008",,,,
Report title: Prisoners in 2008 NCJ 228417,,,,
"Data source: National Prisoner Statistics, 1b",,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
"Date of version: December 8, 2009",,,,
,,,,
"Figure 2: Percent change in number of prisoners under state or federal jurisdiction, 2000-2008",,,,
Twelve months ending December 31,Percent change ,,,
Year,State,,Federal,
2000,1.4,%,7.5,%
2001,0.1,,5.9,
2002,2.4,,6.2,
2003,1.5,,5.8,
2004,1.6,,4.2,
2005,1.8,,4,
2006,2.7,,2.9,
2007,1.6,,3.4,
2008,0.8,,0.8,
