Bureau of Justice Statistics,,,,,,,
Filename: p08t05.csv,,,,,,,
"Table 5. Estimated number of sentenced prisoners under state or federal jurisdiction, by race and Hispanic origin, December 31, 2000-2008",,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
"Date of version: December 8, 2009",,,,,,,
,,,,,,,
"Table 5: Estimated number of sentenced prisoners under state or federal jurisdiction, by race and Hispanic origin, December 31, 2000-2008",,,,,,,
,Total number of prisoners,,,,,,
Year,Total/a,,White/b,,Black/b,,Hispanic
2000,"1,321,200",,"471,000",,"610,300",,"216,900"
2001,"1,344,500",,"485,400",,"622,200",,"209,900"
2002,"1,380,300",,"472,200",,"622,700",,"250,000"
2003,"1,409,300",,"493,400",,"621,300",,"268,100"
2004,"1,433,800",,"491,800",,"583,400",,"275,600"
2005,"1,461,100",,"505,500",,"577,100",,"294,900"
2006,"1,502,200",,"527,100",,"562,800",,"308,000"
2007,"1,532,800",,"521,900",,"586,200",,"318,800"
2008,"1,540,100",,"528,200",,"591,900",,"313,100"
Note: Totals based on prisoners with a sentence of more than 1 year. See Methodology for estimation method. ,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, other Pacific Islanders, and persons identifying two or more races. ",,,,,,,
b/Excludes persons of Hispanic or Latino origin.,,,,,,,
