Bureau of Justice Statistics,,,,,,,
Filename: p08t09.csv,,,,,,,
"Table 9. Total incarcerated population, December 31, 2007 and 2008",,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
"Date of version: December 8, 2009",,,,,,,
,,,,,,,
"Table 9: Total incarcerated population, December 31, 2007 and 2008",,,,,,,
,,Number of inmates,,,,"Percent change, 2007-2008",
Incarcerated population,,2007,,2008,,,
,Total/a,"2,419,241",,"2,424,279",,0.2,%
Federal and state prisons,,"1,517,867",,"1,518,559",,0,
Territorial prisons,,"14,678",,"13,576",,-7.5,
Local jails/b,,"780,174",,"785,556",,0.7,
ICE facilities,,"9,720",,"9,957",,2.4,
Military facilities,,"1,794",,"1,651",,-8,
Jails in Indian country,,"2,163",,"2,135",,-1.3,
Juvenile facilities/c,,"92,845",,"92,845",,:,
:Not calculated.,,,,,,,
"a/Total includes all inmates held in state or federal public prison facilities, local jails, U.S. territories, military facilities, U.S. Immigration and Customs Enforcement (ICE) owned and contracted facilities, jails in Indian country, and juvenile facilities.",,,,,,,
b/Counts for inmates held in local jails are for the last weekday of June in each year. ,,,,,,,
"c/Data are from the 2006 Census of Juveniles in Residential Placement (CJRP), conducted by the Office of Juvenile Justice Delinquency Prevention, Office of Justice Programs, U.S. Department of Justice. ",,,,,,,
