Bureau of Justice Statistics,,,,
Filename: p08t10.csv,,,,
"Table 10. Number of inmates held in custody of state prisons, as a percent of capacity, 1995 and 2000-2008",,,,
Report title: Prisoners in 2008 NCJ 228417,,,,
"Data source: National Prisoner Statistics, 1b",,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
"Date of version: December 8, 2009",,,,
,,,,
"Table 10: Number of inmates held in custody of state prisons, as a percent of capacity, 1995 and 2000-2008",,,,
Year,Highest capacity,,Lowest capacity,
1995,114,%,125,%
2000,100,,115,
2001,101,,116,
2002,101,,117,
2003,100,,116,
2004,99,,115,
2005,99,,114,
2006,98,,114,
2007,96,,113,
2008,97,,108,
"State capacity, 2008","1,275,440",,"1,142,129",
"Note: Capacity excludes prisoners held in local jails and in privately operated facilities, with exceptions. See NPS jurisdiction notes.",,,,
