Bureau of Justice Statistics,,,,,,,,,,
Filename: p08t11.csv,,,,,,,,,,
"Table 11. Selected characteristics of ICE detainees and facilities, 2000, 2007, and 2008",,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,
,,,,,,,,,,
"Table 11: Selected characteristics of ICE detainees and facilities, 2000, 2007, and 2008",,,,,,,,,,
,,,Number of detainees,,,,,,,
Characteristics,,,2000,2007,2008,,"Average annual change, 2000-2007",,"Percent change, 2007-2008",
,,Total,"19,515","30,431","34,161",,6.6,%,12.3,%
States holding the largest number of detainees,,,,,,,,,,
,Texas,,"3,615","7,842","8,695",,11.7,%,10.9,%
,California,,"3,210","3,702","3,694",,2.1,,-0.2,
,Arizona,,"1,685","2,943","2,975",,8.3,,1.1,
,Florida,,"1,491","1,861","2,195",,3.2,,17.9,
,Georgia,,596,"1,452","2,075",,13.6,,42.9,
Facility type,,,,,,,,,,
,Intergovernmental service agreement and Bureau of Prisons,,"12,904","20,711","24,204",,7,%,16.9,%
,ICE owned and contracted,,"6,611","9,720","9,957",,5.7,,2.4,
Number of facilities,,,371,326,297,,,,,
,Intergovernmental service agreement and Bureau of Prisons,,347,292,256,,,,,
,ICE owned and contracted,,24,34,41,,,,,
Note: Only select characteristics are detailed; categories may not add to totals. ,,,,,,,,,,
