Bureau of Justice Statistics,,
Filename: p18f02.csv,,
"Figure 2. Ratio of imprisonment rates of black and Hispanic males to white males under the jurisdiction of state or federal correctional authorities, by age, 2018",,
Report title: Prisoners in 2018   NCJ 253516,,
"Data Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary), National Corrections Reporting Program, 2017, National Prisoner Statistics, 2018, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1, 2019",,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,
Date of version: 4/30/2020,,
,,
"Figure 2. Ratio of imprisonment rates of black and Hispanic males to white males under the jurisdiction of state or federal correctional authorities, by age, 2018",,
Age,Black to white,Hispanic to white
Total*,5.8,2.6
18-19,12.71,3.34
20-24,7.98,3.21
25-29,5.8,2.75
30-34,5.14,2.45
35-39,5.24,2.35
40-44,5.48,2.35
45-49,5.16,2.24
50-54,5.29,2.21
55-59,5.43,2.45
60-64,5.54,2.87
65 or older,4.66,3.15
Note: Based on sentenced prisoners. See table 10 for rates.,,
"*Includes prisoners of all ages, including those age 17 or younger.",,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary), National Corrections Reporting Program, 2017, National Prisoner Statistics, 2018, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1, 2019.",,
