Bureau of Justice Statistics,,,,,,,,,,,
Filename: p18t01.csv,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2008-2018",,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2008-2018",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2008-2018",,,,,,,,,,,
Year/a,,Total,,Federal/b,,State,,Male,,Female,
2008,,"1,608,282",,"201,280",,"1,407,002",,"1,493,670",,"114,612",
2009,,"1,615,487",,"208,118",,"1,407,369",,"1,502,002",,"113,485",
2010,,"1,613,803",,"209,771",,"1,404,032",,"1,500,936",,"112,867",
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013,,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",
2014,,"1,562,319",,"210,567",,"1,351,752",,"1,449,291",,"113,028",
2015,,"1,526,603",,"196,455",,"1,330,148",,"1,415,112",,"111,491",
2016,,"1,508,129",,"189,192",,"1,318,937",,"1,396,296",,"111,833",
2017,,"1,489,189",,"183,058",,"1,306,131",,"1,377,815",,"111,374",
2018,,"1,465,158",,"179,898",,"1,285,260",,"1,354,313",,"110,845",
Percent change,,,,,,,,,,,
,2008-2018,-8.9,%,-10.6,%,-8.7,%,-9.3,%,-3.3,%
,2017-2018,-1.6,,-1.7,,-1.6,,-1.7,,-0.5,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,
"a/Total and state counts for 2018 include imputed counts for New Hampshire and Oregon, which did not submit 2018 National Prisoner Statistics (NPS) data. See Methodology. Total and state estimates for 2017 include imputed counts for New Mexico and North Dakota, which did not submit 2017 NPS data. See Methodology in Prisoners in 2017 (NCJ 252156, BJS, April 2019). For years prior to 2017, data for one to two states per year were imputed and included in total and state counts but have since been confirmed by state respondents. Counts for 2017 and earlier may have been revised based on updated reporting and may differ from numbers in past reports.",,,,,,,,,,,
b/Includes adult prisoners held in non-secure community-corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2008-2018.",,,,,,,,,,,
