Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p18t11.csv,,,,,,,,,,,,
"Table 11. Non-U.S. citizen prisoners in the custody of publicly or privately operated federal or state prisons, not including jails, by jurisdiction and sex, December 31, 2018",,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 11. Non-U.S. citizen prisoners in the custody of publicly or privately operated federal or state prisons, not including jails, by jurisdiction and sex, December 31, 2018",,,,,,,,,,,,
,,"Non-U.S. citizen prisoners/a,b",,,,,,Non-U.S. citizen prisoners sentenced to more than 1 year/a,,,,
State/federal,,Total ,Male/c,Female/c,Percent of prison population/d,,,Total ,Male/c,Female/c,Percent of sentenced population/d,
,U.S. total/e,"104,273","75,842","2,953",7.7,%,,"99,294","71,301","2,719",7.5,%
Federal/f,,"33,420","31,899","1,521",18.6,%,,"29,498","28,156","1,342",17.8,%
State/e,,"70,853","43,943","1,432",6,%,,"69,796","43,145","1,377",6.1,%
,Alabama,934,874,60,4.4,,,934,874,60,5.2,
,Alaska/g,85,81,4,2,,,38,36,2,2,
,Arizona/f,"3,434","3,293",141,8.2,,,"3,374","3,241",133,8.3,
,Arkansas,281,267,14,1.8,,,281,267,14,1.8,
,California/h,"23,895",/,/,19,,,"23,691",/,/,18.8,
,Colorado/f,"1,458","1,400",58,7.3,,,"1,458","1,400",58,7.3,
,Connecticut/g,367,351,16,2.8,,,255,245,10,2.9,
,Delaware/g,182,170,12,3.3,,,150,146,4,4.1,
,Florida/f,"5,773","5,601",172,6,,,"5,773","5,601",172,6,
,Georgia/f,"2,684","2,554",130,5.5,,,"2,671","2,542",129,5.6,
,Hawaii/g,368,359,9,7.3,,,123,119,4,3.8,
,Idaho,286,280,6,3.6,,,248,242,6,3.4,
,Illinois/f,"1,501","1,463",38,3.8,,,"1,501","1,463",38,3.8,
