Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p18t13.csv,,,,,,,,,,,,,
"Table 13. Sentenced prisoners under jurisdiction of state correctional authorities, percentages by most serious offense, sex, and race or ethnicity, December 31, 2017",,,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2017; National Prisoner Statistics, 2017; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 13. Sentenced prisoners under jurisdiction of state correctional authorities, percentages by most serious offense, sex, and race or ethnicity, December 31, 2017",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,White/b,,Black/b,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,55.7,%,57.1,%,37.8,%,47.8,%,61.1,%,60.8,%
,Murder/c,14.3,,14.5,,11.9,,10.7,,17,,15.5,
,Negligent manslaughter,1.5,,1.4,,2.7,,1.4,,0.9,,1.1,
,Rape/sexual assault,13.1,,13.9,,2.5,,16.6,,8.4,,14.3,
,Robbery,12.8,,13.2,,7.8,,7.1,,19.2,,12.5,
,Aggravated/simple assault,10.8,,10.9,,8.7,,9.1,,12.1,,13.5,
,Other,3.2,,3.2,,4.1,,3,,3.4,,3.8,
Property,,16.8,%,16.2,%,25,%,22.5,%,13.6,%,12,%
,Burglary,9.1,,9.2,,7.1,,11.1,,8.4,,7,
,Larceny/theft,3,,2.6,,7,,4.6,,2.4,,2,
,Motor-vehicle theft,0.8,,0.8,,1,,1,,0.6,,1,
,Fraud,2,,1.6,,7,,2.8,,1.2,,1,
,Other,2,,1.9,,3,,3,,1.1,,1.1,
Drug,,14.4,%,13.6,%,25.4,%,15.9,%,12.9,%,13.5,%
,Possession,3.7,,3.3,,7.9,,4.5,,3.2,,3.1,
,Other/d,10.8,,10.2,,17.5,,11.4,,9.7,,10.5,
Public order,,12.4,%,12.5,%,10.8,%,13,%,12.1,%,13.2,%
,Weapons,4.5,,4.7,,1.9,,2.8,,6,,5.5,
,DUI/DWI,1.8,,1.7,,2.5,,2.6,,0.7,,2.5,
,Other/e,6,,6,,6.3,,7.6,,5.3,,5.3,
Other/unspecified/f,,0.7,%,0.6,%,1,%,0.8,%,0.4,%,0.4,%
,Total number of sentenced prisoners/g,"1,273,674",,"1,179,900",,"93,800",,"394,800",,"409,600",,"274,300",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Estimates are based on state prisoners with a sentence of more than one year. Details may not sum to totals due to rounding and missing offense data. See Methodology.",,,,,,,,,,,,,
"a/Also includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races.",,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white and “black” refers to non-Hispanic black). See Methodology.",,,,,,,,,,,,,
c/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"d/Includes trafficking, other drug offenses, and unspecified drug offenses.",,,,,,,,,,,,,
"e/Includes court offenses; commercialized vice, morals, and decency offenses; liquor-law violations; probation and parole violations; and other public-order offenses.",,,,,,,,,,,,,
f/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
g/Estimates are rounded to the nearest 100.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2017; National Prisoner Statistics, 2017; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,
