Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p18t15.csv,,,,,,,,,,,,,
"Table 15. Percent of sentenced prisoners held in publicly or privately operated federal correctional facilities, by most serious offense, sex, and race or ethnicity, September 30, 2018",,,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary)",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 15. Percent of sentenced prisoners held in publicly or privately operated federal correctional facilities, by most serious offense, sex, and race or ethnicity, September 30, 2018",,,,,,,,,,,,,
Most serious offense,,All prisoners/a,,Male,,Female,,"White/b,c",,"Black/b,c",,Hispanic/c,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,7.8,%,8.1,%,4.6,%,6.8,%,10.3,%,2.6,%
,Homicide/d,1.7,,1.7,,1.4,,0.7,,2.6,,0.4,
,Robbery,3.7,,3.8,,1.7,,4.3,,5.6,,1,
,Sexual abuse,0.7,,0.9,,0.1,,0.7,,0.4,,0.2,
,Other,1.7,,1.7,,1.4,,1.1,,1.7,,1,
Property,,5.7,%,4.9,%,15.9,%,8,%,6,%,2.9,%
,Burglary,0.2,,0.2,,0.1,,0.1,,0.4,,0,
,Fraud/e,4.5,,3.8,,13.4,,6.4,,4.6,,2.4,
,Other/f,1,,0.9,,2.4,,1.5,,1,,0.4,
Drug/g,,47.1,%,46.3,%,57.9,%,37.8,%,45.4,%,59.7,%
Public order,,39,%,40.3,%,21.2,%,46.7,%,38.1,%,34.6,%
,Immigration/h,5.7,,5.8,,2.9,,0.5,,0.3,,17.3,
,Weapons,17.7,,18.6,,4.6,,14.3,,28.1,,9,
,Other/i,15.7,,15.9,,13.7,,31.9,,9.7,,8.3,
Other/unspecified/j,,0.4,%,0.4,%,0.4,%,0.7,%,0.3,%,0.3,%
,Total number of sentenced prisoners/k,"162,904",,"151,900",,"11,000",,"46,100",,"60,500",,"50,800",
"Note: Counts and percentages are based on prisoners who were convicted, sentenced to one year or more, and in the custody of publicly or privately operated federal correctional facilities on September 30, 2018. Details may not sum to totals due to rounding. See Methodology. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,
"a/Also includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races.",,,,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks). See Methodology.",,,,,,,,,,,,,
c/Data on race or ethnicity are based on administrative data and self-reports from BJS surveys. ,,,,,,,,,,,,,
d/Includes murder and both negligent and non-negligent manslaughter.,,,,,,,,,,,,,
"e/Includes embezzlement, fraud, forgery, and counterfeiting.",,,,,,,,,,,,,
"f/Includes larceny, motor-vehicle theft, arson and explosives, transportation of stolen property, and other property offenses.",,,,,,,,,,,,,
"g/Includes trafficking, possession, and other drug offenses. More than 99% of federal drug offenders were sentenced for trafficking.",,,,,,,,,,,,,
"h/Includes illegal entry, smuggling and importing non-U.S. citizens, and holds for immigration officials.",,,,,,,,,,,,,
"i/Includes regulatory offenses; tax-law violations; bribery; perjury, contempt, and intimidation in U.S. courts; national-defense offenses; escape; racketeering and extortion; gambling; sexual offenses, excluding sexual abuse; offenses involving liquor, traffic, wildlife, and environmental matters; and all other public-order offenses.",,,,,,,,,,,,,
j/Includes offenses not classified.,,,,,,,,,,,,,
k/Estimates are rounded to the nearest 100. ,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary).",,,,,,,,,,,,,
