Bureau of Justice Statistics,,,,,,,,,
Filename: p18t17.csv,,,,,,,,,
"Table 17. Prison facility capacity, custody population, and percent of capacity, December 31, 2018",,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018",,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,
,,,,,,,,,
"Table 17. Prison facility capacity, custody population, and percent of capacity, December 31, 2018",,,,,,,,,
,,Type of capacity,,,,Custody population as a percent of—,,,
State/federal,,Rated,Operational,Design,Custody population,Lowest capacity,,Highest capacity,
Federal/a,,"135,424",/,/,"151,865",112.1,%,112.1,%
State,,,,,,,,,
,Alabama/b,...,"22,176","12,412","20,875",168.2,%,94.1,%
,Alaska/c,"4,838",/,"4,664","4,235",90.8,,87.5,
,Arizona/d,"39,714","41,447","39,714","41,937",105.6,,101.2,
,Arkansas,"16,081","16,120","15,297","15,578",101.8,,96.6,
,California,/,"122,302","89,763","117,937",131.4,,96.4,
,Colorado,...,"14,738","13,115","16,086",122.7,,109.1,
,Connecticut,/,/,/,"13,228",/,,/,
,Delaware/b,"5,514","5,566","4,092","5,582",136.4,,100.3,
,Florida,...,"87,103",...,"85,169",97.8,,97.8,
,Georgia/d,"59,935","54,358",/,"53,268",98,,88.9,
,Hawaii,...,"3,527","3,527","3,527",100,,100,
,Idaho/d,...,"7,288",...,"8,069",110.7,,110.7,
,Illinois/e,"51,329","51,329",...,"39,392",76.7,,76.7,
,Indiana/f,...,"29,140",...,"26,562",91.2,,91.2,
,Iowa,"6,934","6,934","6,934","8,559",123.4,,123.4,
,Kansas,"9,974","9,916","9,164","9,938",108.4,,99.6,
,Kentucky,"12,784","12,784","12,764","12,290",96.3,,96.1,
,Louisiana,"17,956","16,344","16,764","14,880",91,,82.9,
,Maine,"2,365","2,591","3,481","2,384",100.8,,68.5,
,Maryland/g,/,"21,072",/,"19,180",91,,91,
,Massachusetts,...,"10,208","7,492","8,454",112.8,,82.8,
,Michigan,"40,454","39,702",...,"38,761",97.6,,95.8,
,Minnesota,...,"9,504",...,"9,314",98,,98,
,Mississippi,/,"11,839",/,"10,061",85,,85,
,Missouri/b,...,"31,320",/,"30,335",96.9,,96.9,
,Montana,"1,236","1,818","1,916","1,837",148.6,,95.9,
,Nebraska/b,/,"4,094","3,375","5,340",158.2,,130.4,
,Nevada,"13,803","12,328","9,567","13,182",137.8,,95.5,
,New Hampshire/h,"2,760","2,760","1,810","2,561",141.5,,92.8,
,New Jersey,"16,424","17,753","23,072","16,393",99.8,,71.1,
,New Mexico,/,"3,986","3,986","4,572",114.7,,114.7,
,New York,"50,955","51,149","50,417","46,778",92.8,,91.5,
,North Carolina,...,"35,138","40,237","35,157",100.1,,87.4,
,North Dakota,"1,403","1,403","1,403","1,336",95.2,,95.2,
,Ohio,/,/,/,"43,870",/,,/,
,Oklahoma,"17,549","19,614","17,549","19,968",113.8,,101.8,
,Oregon/h,"14,712","15,612","14,712","14,707",100,,94.2,
,Pennsylvania,"54,531","48,961",...,"45,941",93.8,,84.2,
,Rhode Island,"3,989","3,774","3,975","2,580",68.4,,64.7,
,South Carolina,...,"21,312",...,"18,559",87.1,,87.1,
,"South Dakota/b,d",...,"4,406",...,"3,847",87.3,,87.3,
,Tennessee,"16,009","15,585",/,"11,937",76.6,,74.6,
,Texas/b,"157,375","151,284","157,375","137,286",90.7,,87.2,
,Utah,/,"6,771","7,127","5,202",76.8,,73,
,Vermont,"1,461","1,561","1,561","1,492",102.1,,95.6,
,Virginia,...,"29,197",...,"29,577",101.3,,101.3,
,Washington,/,"16,775",/,"17,415",103.8,,103.8,
,West Virginia,"5,829","6,108","5,829","5,829",100,,95.4,
,Wisconsin,...,"23,386","17,031","23,576",138.4,,100.8,
,Wyoming,"2,427","2,116","2,437","2,053",97,,84.2,
"Note: Excludes prisoners held in local jails, other states, or private facilities, unless otherwise noted. Rated capacity is the number of prisoners or beds that a facility can hold as set by a rating official. Operational capacity is the number of prisoners that a facility can hold based on staffing and services. Design capacity is the number of prisoners that a facility can hold as set by the architect or planner. Lowest capacity represents the minimum estimate of capacity submitted by the jurisdiction, while highest capacity represents the maximum estimate of capacity. When a jurisdiction could provide only a single estimate of capacity, it was used as both the lowest and highest capacity. For jurisdiction-level information, see Jurisdiction notes on the BJS website. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,
...Not available. State does not measure this type of capacity.,,,,,,,,,
/Not reported.,,,,,,,,,
"a/Due to differences in the dates when data were extracted, the federal custody count reported for the calculation of capacity differs slightly from the year-end custody count reported in the National Prisoner Statistics (NPS). The count includes all federal prisoners, regardless of conviction status or sentence length.",,,,,,,,,
b/State defines capacity differently than BJS does. See Jurisdiction notes on the BJS website.,,,,,,,,,
c/Alaska’s capacity excludes non-traditional confinement such as halfway houses and electronic monitoring.,,,,,,,,,
d/Private facilities are included in capacity and custody counts.,,,,,,,,,
