Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: p18t18.csv,,,,,,,,,,,,,,
"Table 18. Prisoners under jurisdiction of state or federal correctional authorities and held in the custody of private prisons or local jails, by jurisdiction, 2017 and 2018",,,,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017 and 2018",,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 18. Prisoners under jurisdiction of state or federal correctional authorities and held in the custody of private prisons or local jails, by jurisdiction, 2017 and 2018",,,,,,,,,,,,,,
,,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,
State/federal,,2017,2018,"Percent change, 2017-2018",,"Percent of total jurisdiction population, 2018",,,2017,2018,"Percent change, 2017-2018",,"Percent of total jurisdiction population, 2018",
,U.S. total,"121,044","118,444",-2.1,%,8.1,%,,"80,762","80,513",-0.3,%,5.5,%
Federal/b,,"27,569","27,747",0.6,%,15.4,%,,869,649,-25.3,%,0.4,%
State,,"93,475","90,697",-3,%,7.1,%,,"79,893","79,864",0,%,6.2,%
,Alabama,264,369,39.8,,1.4,,,"2,021","2,061",2,,7.7,
,Alaska/c,248,209,-15.7,,4.8,,,39,35,-10.3,,0.8,
,Arizona,"8,283","8,231",-0.6,,19.6,,,0,0,:,,0,
,Arkansas,0,0,:,,0,,,"1,837","1,866",1.6,,10.5,
,California,"6,359","3,952",-37.9,,3.1,,,"1,762","1,667",-5.4,,1.3,
,Colorado,"3,760","3,909",4,,19.2,,,164,259,57.9,,1.3,
,Connecticut/c,515,507,-1.6,,3.7,,,0,0,:,,0,
,Delaware/c,~,~,:,,0,,,0,0,:,,0,
,Florida,"11,676","10,524",-9.9,,10.8,,,"1,119","1,123",0.4,,1.2,
,Georgia,"7,880","7,801",-1,,14.5,,,"4,752","4,689",-1.3,,8.7,
,Hawaii/c,"1,602","1,483",-7.4,,27.6,,,0,0,:,,0,
,Idaho/d,432,"1,126",160.6,,13,,,680,595,-12.5,,6.9,
,Illinois,362,523,44.5,,1.3,,,0,0,:,,0,
,Indiana/e,"4,061","4,034",-0.7,,15,,,251,315,25.5,,1.2,
,Iowa,0,0,:,,0,,,0,0,:,,0,
,Kansas,0,0,:,,0,,,97,91,-6.2,,0.9,
,Kentucky,~,839,:,,3.6,,,"11,531","11,137",-3.4,,47.5,
,Louisiana,0,0,:,,0,,,"18,587","17,517",-5.8,,54.1,
,Maine,0,0,:,,0,,,17,15,-11.8,,0.6,
,Maryland,32,29,-9.4,,0.2,,,58,107,84.5,,0.6,
,Massachusetts,~,~,:,,0,,,261,226,-13.4,,2.6,
,Michigan,0,0,:,,0,,,0,0,:,,0,
,Minnesota,0,0,:,,0,,,"1,007",804,-20.2,,8,
,Mississippi,"3,121","3,217",3.1,,16.7,,,"5,133","5,545",8,,28.8,
,Missouri,0,0,:,,0,,,0,0,:,,0,
,Montana/f,"1,409","2,011",:,,53.4,,,503,33,-93.4,,0.9,
,Nebraska,0,0,:,,0,,,151,146,-3.3,,2.7,
,Nevada/g,199,200,0.5,,1.5,,,19,15,-21.1,,0.1,
,New Hampshire/h,/,/,:,,0,,,/,/,:,,0,
,New Jersey,"2,659","2,652",-0.3,,13.7,,,87,211,142.5,,1.1,
