Bureau of Justice Statistics,,,,,,,,,,
Filename: p18t19.csv,,,,,,,,,,
"Table 19. Prisoners under military jurisdiction, by branch of service, 2017 and 2018",,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2017 and 2018",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,
,,,,,,,,,,
"Table 19. Prisoners under military jurisdiction, by branch of service, 2017 and 2018",,,,,,,,,,
,,Total population/a,,,,,Sentenced population/b,,,
Jurisdiction,,2017,2018,Percent change 2017-2018,,,2017,2018,Percent change 2017-2018,
,All prisoners,"1,268","1,287",1.5,%,,996,"1,005",0.9,%
Branch of service,,,,,,,,,,
,U.S. Air Force,231,243,5.2,%,,184,197,7.1,%
,U.S. Army,571,574,0.5,,,502,483,-3.8,
,U.S. Marine Corps,241,275,14.1,,,151,183,21.2,
,U.S. Navy,210,182,-13.3,,,146,130,-11,
,U.S. Coast Guard,15,13,-13.3,,,13,12,-7.7,
In custody of—,,,,,,,,,,
,U.S. Air Force,30,30,0,%,,4,3,-25,%
,U.S. Army,730,710,-2.7,,,659,641,-2.7,
,U.S. Marine Corps,140,197,40.7,,,62,110,77.4,
,U.S. Navy,368,350,-4.9,,,271,251,-7.4,
Note: Counts are for December 31 of each year.,,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length.",,,,,,,,,,
b/Includes prisoners sentenced to more than one year under military jurisdiction.,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2017 and 2018.",,,,,,,,,,
