Bureau of Justice Statistics,,,,
Filename: p18f01.csv,,,,
"Figure 1. Combined state and federal imprisonment rate per 100,000 U.S. residents of a given race or ethnicity, 2008-2018",,,,
Report title: Prisoners in 2018   NCJ 253516,,,,
"Data Source:  Bureau of Justice Statistics, National Prisoner Statistics, 2008-2018",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,
Date of version: 4/30/2020,,,,
,,,,
"Figure 1. Combined state and federal imprisonment rate per 100,000 U.S. residents of a given race or ethnicity, 2008-2018",,,,
Year,Total*,White,Black,Hispanic
2008,506,250,1580,691
2009,504,245,1544,694
2010,500,245,1500,672
2011,492,240,1447,660
2012,480,236,1382,636
2013,479,234,1347,622
2014,472,233,1305,605
2015,459,228,1247,586
2016,450,222,1206,585
2017,441,221,1169,569
2018,431,218,1134,549
Note: Rates are based on prisoners sentenced to serve more than one year in state or federal prison. See table 5 for rates from 2008 to 2018.,,,,
"*Includes all races, including those not shown separately in the figure.",,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2008-2018.",,,,
