Bureau of Justice Statistics,,
Filename: p18f03.csv,,
"Figure 3. Ratio of imprisonment rates of black and Hispanic females to white females under the jurisdiction of state or federal correctional authorities, by age, 2018",,
Report title: Prisoners in 2018   NCJ 253516,,
"Data Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary), National Corrections Reporting Program, 2017, National Prisoner Statistics, 2018, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1, 2019",,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,
Date of version: 4/30/2020,,
,,
"Figure 3. Ratio of imprisonment rates of black and Hispanic females to white females under the jurisdiction of state or federal correctional authorities, by age, 2018",,
Age,Black to white,Hispanic to white
Total*,1.8,1.3
18-19,3.62,1.74
20-24,2.35,1.58
25-29,1.52,1.23
30-34,1.33,1.16
35-39,1.36,1.1
40-44,1.52,1.04
45-49,1.62,1.06
50-54,2.1,1.23
55-59,2.31,1.3
60-64,2.5,1.68
65 or older,2.32,1.62
Note: Based on sentenced prisoners. See table 10 for rates.,,
"*Includes prisoners of all ages, including those age 17 or younger.",,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary), National Corrections Reporting Program, 2017, National Prisoner Statistics, 2018, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, post-censal resident population estimates for January 1, 2019.",,
