Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p18t02.csv,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2017 and 2018",,,,,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017 and 2018",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 2. Prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2017 and 2018",,,,,,,,,,,,,,,
,,2017,,,,2018,,,,"Percent change, 2017-2018",,,,,
State/federal,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total,"1,489,189","1,377,815","111,374",,"1,465,158","1,354,313","110,845",,-1.6,%,-1.7,%,-0.5,%
Federal/a,,"183,058","170,525","12,533",,"179,898","167,372","12,526",,-1.7,%,-1.8,%,-0.1,%
State/b,,"1,306,131","1,207,290","98,841",,"1,285,260","1,186,941","98,319",,-1.6,%,-1.7,%,-0.5,%
,Alabama,"27,608","25,135","2,473",,"26,841","24,439","2,402",,-2.8,,-2.8,,-2.9,
,Alaska/c,"4,399","4,011",388,,"4,380","4,001",379,,-0.4,,-0.2,,-2.3,
,Arizona,"42,030","37,971","4,059",,"42,005","37,820","4,185",,-0.1,,-0.4,,3.1,
,Arkansas,"18,070","16,651","1,419",,"17,799","16,396","1,403",,-1.5,,-1.5,,-1.1,
,California,"131,039","125,180","5,859",,"128,625","122,847","5,778",,-1.8,,-1.9,,-1.4,
,Colorado,"19,946","18,044","1,902",,"20,372","18,347","2,025",,2.1,,1.7,,6.5,
,Connecticut/c,"14,040","13,069",971,,"13,681","12,679","1,002",,-2.6,,-3,,3.2,
,Delaware/c,"6,443","5,931",512,,"6,067","5,646",421,,-5.8,,-4.8,,-17.8,
,Florida,"98,504","91,779","6,725",,"97,538","90,812","6,726",,-1,,-1.1,,0,
,Georgia,"53,667","49,839","3,828",,"53,647","49,708","3,939",,0,,-0.3,,2.9,
,Hawaii/c,"5,630","5,006",624,,"5,375","4,716",659,,-4.5,,-5.8,,5.6,
,Idaho,"8,579","7,534","1,045",,"8,664","7,524","1,140",,1,,-0.1,,9.1,
,Illinois,"41,427","39,148","2,279",,"39,965","37,627","2,338",,-3.5,,-3.9,,2.6,
,Indiana,"26,024","23,608","2,416",,"26,877","24,310","2,567",,3.3,,3,,6.3,
