Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: p18t03.csv,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or ethnicity, 2008-2018",,,,,,,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary); National Corrections Reporting Program, 2017; National Prisoner Statistics, 2008-2018; Survey of Inmates in State and Federal Correctional Facilities, 2004; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or ethnicity, 2008-2018",,,,,,,,,,,,,,,,,
Year/a,,Total/b,,Federal/c,,State,,Male,,Female,,"White/d,e",,"Black/d,e",,Hispanic/e,
2008,,"1,547,742",,"182,333",,"1,365,409",,"1,441,384",,"106,358",,"499,900",,"592,800",,"329,800",
2009,,"1,553,574",,"187,886",,"1,365,688",,"1,448,239",,"105,335",,"490,000",,"584,800",,"341,200",
2010,,"1,552,669",,"190,641",,"1,362,028",,"1,447,766",,"104,903",,"484,400",,"572,700",,"345,800",
2011,,"1,538,847",,"197,050",,"1,341,797",,"1,435,141",,"103,706",,"474,300",,"557,100",,"347,800",
2012,,"1,512,430",,"196,574",,"1,315,856",,"1,411,076",,"101,354",,"466,600",,"537,800",,"340,300",
2013,,"1,520,403",,"195,098",,"1,325,305",,"1,416,102",,"104,301",,"463,900",,"529,900",,"341,200",
2014,,"1,507,781",,"191,374",,"1,316,407",,"1,401,685",,"106,096",,"461,500",,"518,700",,"338,900",
2015,,"1,476,847",,"178,688",,"1,298,159",,"1,371,879",,"104,968",,"450,200",,"499,400",,"333,200",
2016,,"1,459,948",,"171,482",,"1,288,466",,"1,354,109",,"105,839",,"440,200",,"487,300",,"339,600",
2017,,"1,439,877",,"166,203",,"1,273,674",,"1,334,828",,"105,049",,"436,500",,"475,900",,"336,500",
2018,,"1,414,162",,"163,653",,"1,250,509",,"1,309,925",,"104,237",,"430,500",,"465,200",,"330,200",
Percent change,,,,,,,,,,,,,,,,,
,2008-2018,-8.6,%,-10.2,%,-8.4,%,-9.1,%,-2,%,-13.9,%,-21.5,%,0.1,%
,2017-2018,-1.8,,-1.5,,-1.8,,-1.9,,-0.8,,-1.4,,-2.2,,-1.9,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year and are based on prisoners with a sentence of more than one year. Data for 2017 have been updated with changes to the population counts for several states. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,,,
"a/Estimates for 2018 include imputed counts for New Hampshire and Oregon, which did not submit 2018 National Prisoner Statistics (NPS) data. See Methodology. Total and state counts for 2017 include imputed counts for New Mexico and North Dakota, which did not submit 2017 NPS data. See Methodology in Prisoners in 2017 (NCJ 252156, BJS, April 2019). For years prior to 2017, data for one to two states per year were imputed and included in total and state counts but have since been confirmed by state respondents.",,,,,,,,,,,,,,,,,
"b/Also includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races.",,,,,,,,,,,,,,,,,
c/Includes adult prisoners held in non-secure community-corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,,,
"d/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white and “black” refers to non-Hispanic black). See Methodology.",,,,,,,,,,,,,,,,,
e/Estimates are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2018 (preliminary); National Corrections Reporting Program, 2017; National Prisoner Statistics, 2008-2018; Survey of Inmates in State and Federal Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,
