Bureau of Justice Statistics,,,,,,,,
Filename: p18t21.csv,,,,,,,,
"Table 21. Prisoners under jurisdiction or in custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2018",,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018",,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version: 4/30/2020,,,,,,,,
,,,,,,,,
"Table 21. Prisoners under jurisdiction or in custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2018",,,,,,,,
,,Jurisdiction population,,,,Type of capacity,,
U.S. territory/U.S. commonwealth,,Total/a,Sentenced to more than 1 year/b,,Total custody population,Rated,Operational,Design
,Total,"7,652","6,890",,"10,225",/,/,/
American Samoa/c,,/,/,,196,/,/,/
Guam,,559,313,,559,443,/,443
Northern Mariana Islands,,178,144,,178,559,325,559
Puerto Rico,,"6,544","6,433",,"9,100","11,987","10,694","14,632"
U.S. Virgin Islands/d,,371,/,,192,/,/,/
"Note: Jurisdiction refers to the legal authority of U.S. territorial or commonwealth correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held. Rated capacity is the number of prisoners or beds a facility can hold as set by a rating official. Operational capacity is the number of prisoners a facility can hold based on staffing and services. Design capacity is the number of prisoners a facility can hold as set by the architect or planner.",,,,,,,,
/Not reported.,,,,,,,,
a/Excludes American Samoa.,,,,,,,,
b/Excludes American Samoa and the U.S. Virgin Islands.,,,,,,,,
c/American Samoa has not submitted National Prisoner Statistics (NPS) data since 2011. Custody data were located in the American Samoa Statistical Yearbook 2017 (http://doc.as.gov/wp-content/uploads/2018/10/2017-Statistical-Yearbook.pdf) and represent the number of persons in custody as of December 2017.,,,,,,,,
"d/The U.S. Virgin Islands has not submitted NPS data since 2013. Data are taken from the March 27, 2019, testimony of Virgin Islands Bureau of Corrections Director-designee Wynnie Testamark to the Virgin Islands Committee on Homeland Security, Justice, and Public Safety found at www.legvi.org and represent the number of prisoners in the custody and under the jurisdiction of the U.S. Virgin Islands at the end of March 2019.",,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018.",,,,,,,,
